No,レベル,キャラID,HP,MP,ちから,みのまもり,攻撃魔力,回復魔力,素早さ,きようさ,魅力,経験値,次レベル
LV59_ch_005,59,ch_005,,,,,,,,,,,
LV60_ch_005,60,ch_005,,,,,,,,,,,
LV61_ch_005,61,ch_005,,,,,,,,,,,
LV62_ch_005,62,ch_005,,,,,,,,,,,
LV63_ch_005,63,ch_005,,,,,,,,,,,
LV64_ch_005,64,ch_005,,,,,,,,,,,
LV65_ch_005,65,ch_005,,,,,,,,,,,
LV66_ch_005,66,ch_005,,,,,,,,,,,
LV67_ch_005,67,ch_005,,,,,,,,,,,
LV68_ch_005,68,ch_005,,,,,,,,,,,
LV69_ch_005,69,ch_005,,,,,,,,,,,
LV70_ch_005,70,ch_005,,,,,,,,,,,
LV71_ch_005,71,ch_005,,,,,,,,,,,
LV72_ch_005,72,ch_005,,,,,,,,,,,
LV73_ch_005,73,ch_005,,,,,,,,,,,
LV74_ch_005,74,ch_005,,,,,,,,,,,
LV75_ch_005,75,ch_005,,,,,,,,,,,
LV76_ch_005,76,ch_005,,,,,,,,,,,
LV77_ch_005,77,ch_005,,,,,,,,,,,
LV78_ch_005,78,ch_005,,,,,,,,,,,
LV79_ch_005,79,ch_005,,,,,,,,,,,
LV80_ch_005,80,ch_005,,,,,,,,,,,
LV81_ch_005,81,ch_005,,,,,,,,,,,
LV82_ch_005,82,ch_005,,,,,,,,,,,
LV83_ch_005,83,ch_005,,,,,,,,,,,
LV84_ch_005,84,ch_005,,,,,,,,,,,
LV85_ch_005,85,ch_005,,,,,,,,,,,
LV86_ch_005,86,ch_005,,,,,,,,,,,
LV87_ch_005,87,ch_005,,,,,,,,,,,
LV88_ch_005,88,ch_005,,,,,,,,,,,
LV89_ch_005,89,ch_005,,,,,,,,,,,
LV90_ch_005,90,ch_005,,,,,,,,,,,
LV91_ch_005,91,ch_005,,,,,,,,,,,
LV92_ch_005,92,ch_005,,,,,,,,,,,
LV93_ch_005,93,ch_005,,,,,,,,,,,
LV94_ch_005,94,ch_005,,,,,,,,,,,
LV95_ch_005,95,ch_005,,,,,,,,,,,
LV96_ch_005,96,ch_005,,,,,,,,,,,
LV97_ch_005,97,ch_005,,,,,,,,,,,
LV98_ch_005,98,ch_005,,,,,,,,,,,
LV99_ch_005,99,ch_005,,,,,,,,,,,
LV28_ch_006,28,ch_006,202,144,84,54,121,139,47,57,50,98972,12583
LV29_ch_006,29,ch_006,209,148,86,56,125,144,49,59,52,111555,13664
LV30_ch_006,30,ch_006,215,154,88,59,130,149,51,58,54,125219,14798
LV31_ch_006,31,ch_006,221,160,90,61,133,152,52,63,55,140017,15983
LV32_ch_006,32,ch_006,228,166,93,63,137,155,54,66,57,156000,17221
LV33_ch_006,33,ch_006,234,172,96,64,140,157,56,69,59,173221,18513
LV34_ch_006,34,ch_006,240,180,99,66,144,160,58,71,60,191734,19858
LV35_ch_006,35,ch_006,247,186,102,68,148,163,60,74,62,211592,21258
LV36_ch_006,36,ch_006,253,192,105,70,151,166,61,77,63,232850,22713
LV37_ch_006,37,ch_006,259,199,108,72,155,168,63,80,65,255563,24223
LV38_ch_006,38,ch_006,266,205,111,73,158,171,65,82,67,279786,25790
LV39_ch_006,39,ch_006,272,211,114,75,162,174,67,84,68,305576,27413
LV40_ch_006,40,ch_006,278,217,117,77,166,177,69,88,69,332989,29094
LV41_ch_006,41,ch_006,285,223,120,78,169,180,71,91,71,362083,30832
LV42_ch_006,42,ch_006,291,229,122,79,172,183,73,93,72,392915,32629
LV43_ch_006,43,ch_006,297,234,125,80,175,1811,76,96,73,425544,34484
LV44_ch_006,44,ch_006,304,240,128,81,179,190,78,99,75,460028,36398
LV45_ch_006,45,ch_006,310,244,131,82,182,193,80,102,76,496426,38372
LV46_ch_006,46,ch_006,316,250,134,83,185,196,83,104,77,534798,40406
LV47_ch_006,47,ch_006,323,255,137,84,189,199,85,107,78,575204,42501
LV48_ch_006,48,ch_006,329,261,140,86,192,203,88,110,80,617705,44596
LV49_ch_006,49,ch_006,335,266,143,87,195,206,90,113,81,662301,46933
LV50_ch_006,50,ch_006,342,272,146,88,198,209,92,115,82,709234,
LV51_ch_006,51,ch_006,,,,,,,,,,,
LV52_ch_006,52,ch_006,,,,,,,,,,,
LV53_ch_006,53,ch_006,,,,,,,,,,,
LV54_ch_006,54,ch_006,,,,,,,,,,,
LV55_ch_006,55,ch_006,,,,,,,,,,,
LV56_ch_006,56,ch_006,,,,,,,,,,,
LV57_ch_006,57,ch_006,,,,,,,,,,,
LV58_ch_006,58,ch_006,,,,,,,,,,,
LV59_ch_006,59,ch_006,,,,,,,,,,,
LV60_ch_006,60,ch_006,,,,,,,,,,,
LV61_ch_006,61,ch_006,,,,,,,,,,,
LV62_ch_006,62,ch_006,,,,,,,,,,,
LV63_ch_006,63,ch_006,,,,,,,,,,,
LV64_ch_006,64,ch_006,,,,,,,,,,,
LV65_ch_006,65,ch_006,,,,,,,,,,,
LV66_ch_006,66,ch_006,,,,,,,,,,,
LV67_ch_006,67,ch_006,,,,,,,,,,,
LV68_ch_006,68,ch_006,,,,,,,,,,,
LV69_ch_006,69,ch_006,,,,,,,,,,,
LV70_ch_006,70,ch_006,,,,,,,,,,,
LV71_ch_006,71,ch_006,,,,,,,,,,,
LV72_ch_006,72,ch_006,,,,,,,,,,,
LV73_ch_006,73,ch_006,,,,,,,,,,,
LV74_ch_006,74,ch_006,,,,,,,,,,,
LV75_ch_006,75,ch_006,,,,,,,,,,,
LV76_ch_006,76,ch_006,,,,,,,,,,,
LV77_ch_006,77,ch_006,,,,,,,,,,,
LV78_ch_006,78,ch_006,,,,,,,,,,,
LV79_ch_006,79,ch_006,,,,,,,,,,,
LV80_ch_006,80,ch_006,,,,,,,,,,,
LV81_ch_006,81,ch_006,,,,,,,,,,,
LV82_ch_006,82,ch_006,,,,,,,,,,,
LV83_ch_006,83,ch_006,,,,,,,,,,,
LV84_ch_006,84,ch_006,,,,,,,,,,,
LV85_ch_006,85,ch_006,,,,,,,,,,,
LV86_ch_006,86,ch_006,,,,,,,,,,,
LV87_ch_006,87,ch_006,,,,,,,,,,,
LV88_ch_006,88,ch_006,,,,,,,,,,,
LV89_ch_006,89,ch_006,,,,,,,,,,,
LV90_ch_006,90,ch_006,,,,,,,,,,,
LV91_ch_006,91,ch_006,,,,,,,,,,,
LV92_ch_006,92,ch_006,,,,,,,,,,,
LV93_ch_006,93,ch_006,,,,,,,,,,,
LV94_ch_006,94,ch_006,,,,,,,,,,,
LV95_ch_006,95,ch_006,,,,,,,,,,,
LV96_ch_006,96,ch_006,,,,,,,,,,,
LV97_ch_006,97,ch_006,,,,,,,,,,,
LV98_ch_006,98,ch_006,,,,,,,,,,,
LV99_ch_006,99,ch_006,,,,,,,,,,,
